id,value
category,
category.Fashion & Retail,
category.Automotive,
category.Technology,
category.Finance & Investments,
category.Media & Entertainment,
category.Telecom,
category.Diversified,
category.Food & Beverage,
category.Logistics,
category.Gambling & Casinos,
category.Manufacturing,
category.Real Estate,
category.Metals & Mining,
category.Energy,
category.Healthcare,
category.Service,
category.Construction & Engineering,
category.Sports,
category.Fashion & Retail.Bernard Arnault & family,211000
category.Automotive.Elon Musk,180000
category.Technology.Jeff Bezos,114000
category.Technology.Larry Ellison,107000
category.Finance & Investments.Warren Buffett,106000
category.Technology.Bill Gates,104000
category.Media & Entertainment.Michael Bloomberg,94500
category.Telecom.Carlos Slim Helu & family,93000
category.Diversified.Mukesh Ambani,83400
category.Technology.Steve Ballmer,80700
category.Fashion & Retail.Francoise Bettencourt Meyers & family,80500
category.Technology.Larry Page,79200
category.Fashion & Retail.Amancio Ortega,77300
category.Technology.Sergey Brin,76000
category.Food & Beverage.Zhong Shanshan,68000
category.Technology.Mark Zuckerberg,64400
category.Diversified.Charles Koch & family,59000
category.Diversified.Julia Koch & family,59000
category.Fashion & Retail.Jim Walton,58800
category.Fashion & Retail.Rob Walton & family,57600
category.Fashion & Retail.Alice Walton,56700
category.Media & Entertainment.David Thomson & family,54400
category.Technology.Michael Dell,50100
category.Diversified.Gautam Adani,47200
category.Fashion & Retail.Phil Knight & family,45100
category.Technology.Zhang Yiming,45000
category.Fashion & Retail.Dieter Schwarz,42900
category.Fashion & Retail.François Pinault & family,40100
category.Logistics.Klaus-Michael Kuehne,39100
category.Food & Beverage.Giovanni Ferrero,38900
category.Food & Beverage.Jacqueline Mars,38300
category.Food & Beverage.John Mars,38300
category.Diversified.Li Ka-shing,38000
category.Technology.Ma Huateng,35300
category.Gambling & Casinos.Miriam Adelson & family,35000
category.Finance & Investments.Ken Griffin,35000
category.Food & Beverage.Mark Mateschitz,34700
category.Automotive.Robin Zeng,33400
category.Fashion & Retail.Tadashi Yanai & family,32600
category.Diversified.Len Blavatnik,32100
category.Fashion & Retail.Alain Wertheimer,31600
category.Fashion & Retail.Gerard Wertheimer,31600
category.Logistics.Gianluigi Aponte,31200
category.Logistics.Rafaela Aponte-Diamant,31200
category.Technology.Colin Zheng Huang,30200
category.Manufacturing.Reinhold Wuerth & family,29700
category.Real Estate.Lee Shau Kee,29500
category.Finance & Investments.Jeff Yass,28500
category.Finance & Investments.Jim Simons,28100
category.Finance & Investments.Stephen Schwarzman,27800
category.Automotive.Susanne Klatten,27400
category.Metals & Mining.Gina Rinehart,27000
category.Technology.William Ding,26700
category.Metals & Mining.Germán Larrea Mota Velasco & family,26600
category.Technology.Shiv Nadar,25600
category.Energy.Low Tuck Kwong,25500
category.Finance & Investments.Thomas Peterffy,25300
category.Metals & Mining.Andrey Melnichenko & family,25200
category.Automotive.Stefan Quandt,24600
category.Technology.MacKenzie Scott,24400
category.Finance & Investments.R․ Budi Hartono,24200
category.Metals & Mining.Vladimir Potanin,23700
category.Technology.Jack Ma,23500
category.Manufacturing.He Xiangjian & family,23400
category.Metals & Mining.Iris Fontbona & family,23100
category.Manufacturing.Michael Hartono,23100
category.Manufacturing.James Ratcliffe,22900
