id,value
category,
category;Fashion & Retail,
category;Fashion & Retail;France,338100
category;Fashion & Retail;Spain,95800
category;Fashion & Retail;United States,557600
category;Fashion & Retail;Germany,144900
category;Fashion & Retail;Japan,56200
category;Fashion & Retail;Sweden,22700
category;Fashion & Retail;India,37300
category;Fashion & Retail;Italy,75400
category;Fashion & Retail;South Africa,11100
category;Fashion & Retail;Mexico,10900
category;Fashion & Retail;China,101600
category;Fashion & Retail;Switzerland,21900
category;Fashion & Retail;Russia,19200
category;Fashion & Retail;Monaco,11800
category;Fashion & Retail;Taiwan,10800
category;Fashion & Retail;Denmark,7300
category;Fashion & Retail;Eswatini (Swaziland),6500
category;Fashion & Retail;Canada,19500
category;Fashion & Retail;Austria,12400
category;Fashion & Retail;United Arab Emirates,10500
category;Fashion & Retail;United Kingdom,22700
category;Fashion & Retail;Poland,4800
category;Fashion & Retail;Norway,7600
category;Fashion & Retail;Indonesia,4200
category;Fashion & Retail;Chile,3700
category;Fashion & Retail;Luxembourg,3500
category;Fashion & Retail;Singapore,4800
category;Fashion & Retail;Brazil,12100
category;Fashion & Retail;Hong Kong,9000
category;Fashion & Retail;Bahamas,2200
category;Fashion & Retail;Australia,10100
category;Fashion & Retail;Cyprus,4200
category;Fashion & Retail;South Korea,6700
category;Fashion & Retail;Turkey,2900
category;Fashion & Retail;Romania,2800
category;Fashion & Retail;Cayman Islands,1300
category;Fashion & Retail;Malaysia,1100
category;Automotive,
category;Automotive;United States,225900
category;Automotive;China,156400
category;Automotive;Germany,71600
category;Automotive;India,29500
category;Automotive;Italy,8400
category;Automotive;South Korea,6700
category;Automotive;Switzerland,6900
category;Automotive;United Arab Emirates,2400
category;Automotive;Israel,5000
category;Automotive;France,1700
category;Automotive;Austria,1600
category;Automotive;Vietnam,1500
category;Automotive;Taiwan,1300
category;Automotive;Japan,1100
category;Automotive;Singapore,1100
category;Technology,
category;Technology;United States,1197400
category;Technology;China,361700
category;Technology;India,58400
category;Technology;United Arab Emirates,11500
category;Technology;Australia,37200
category;Technology;Singapore,18300
category;Technology;Germany,31300
category;Technology;South Korea,31200
category;Technology;Hong Kong,15700
category;Technology;Taiwan,34900
category;Technology;Switzerland,8000
category;Technology;Argentina,4900
category;Technology;Canada,13100
category;Technology;Japan,11400
category;Technology;Israel,11700
category;Technology;Sweden,5200
category;Technology;Cyprus,4300
category;Technology;Netherlands,6000
category;Technology;Russia,2100
category;Technology;United Kingdom,5100
category;Technology;Czech Republic,3300
category;Technology;Indonesia,3100
category;Technology;Italy,1000
category;Finance & Investments,
category;Finance & Investments;United States,1003500
category;Finance & Investments;Indonesia,26100
category;Finance & Investments;Switzerland,78300
category;Finance & Investments;Czech Republic,18200
category;Finance & Investments;India,25500
category;Finance & Investments;Hong Kong,24400
category;Finance & Investments;Russia,22200
category;Finance & Investments;United Arab Emirates,19800
category;Finance & Investments;Sweden,18500
category;Finance & Investments;South Korea,13100
category;Finance & Investments;France,16800
category;Finance & Investments;New Zealand,8600
category;Finance & Investments;Monaco,9800
category;Finance & Investments;Singapore,14300
category;Finance & Investments;United Kingdom,54100
category;Finance & Investments;Germany,23300
category;Finance & Investments;Colombia,6400
