id,value,gdp_country,tax_rate_country,amount_of_billionaires,percentage
category,,,,,
category;Fashion & Retail,,,,,
category;Fashion & Retail;France,338100,"$2,715,518,274,227 ",60.7,5.0,0.1990228396515187
category;Fashion & Retail;Spain,95800,"$1,394,116,310,769 ",47.0,7.0,0.056392747821991995
category;Fashion & Retail;United States,557600,"$21,427,700,000,000 ",36.6,63.0,0.3282316929597363
category;Fashion & Retail;Germany,144900,"$3,845,630,030,824 ",48.8,22.0,0.08529550270779374
category;Fashion & Retail;Japan,56200,"$5,081,769,542,380 ",46.7,9.0,0.0330821756534024
category;Fashion & Retail;Sweden,22700,"$530,832,908,738 ",49.1,5.0,0.013362373440075348
category;Fashion & Retail;India,37300,"$2,611,000,000,000 ",49.7,10.0,0.021956675300211913
category;Fashion & Retail;Italy,75400,"$2,001,244,392,042 ",59.1,24.0,0.04438427125029432
category;Fashion & Retail;South Africa,11100,"$351,431,649,241 ",29.2,1.0,0.006534024016953143
category;Fashion & Retail;Mexico,10900,"$1,258,286,717,125 ",55.1,1.0,0.006416293854485519
category;Fashion & Retail;China,101600,"$19,910,000,000,000 ",59.2,37.0,0.059806922533553096
category;Fashion & Retail;Switzerland,21900,"$703,082,435,360 ",28.8,6.0,0.01289145279020485
category;Fashion & Retail;Russia,19200,"$1,699,876,578,871 ",46.2,5.0,0.011302095596891923
category;Fashion & Retail;Monaco,11800,"$7,184,844,193 ",,2.0,0.006946079585589828
category;Fashion & Retail;Taiwan,10800,,,2.0,0.0063574287732517075
category;Fashion & Retail;Denmark,7300,"$348,078,018,464 ",23.8,1.0,0.004297150930068283
category;Fashion & Retail;Eswatini (Swaziland),6500,,,1.0,0.0038262302801977868
category;Fashion & Retail;Canada,19500,"$1,736,425,629,520 ",24.5,6.0,0.01147869084059336
category;Fashion & Retail;Austria,12400,"$446,314,739,528 ",51.4,3.0,0.0072992700729927005
category;Fashion & Retail;United Arab Emirates,10500,"$421,142,267,938 ",15.9,2.0,0.006180833529550271
category;Fashion & Retail;United Kingdom,22700,"$2,827,113,184,696 ",30.6,11.0,0.013362373440075348
category;Fashion & Retail;Poland,4800,"$592,164,400,688 ",40.8,1.0,0.0028255238992229807
category;Fashion & Retail;Norway,7600,"$403,336,363,636 ",36.2,3.0,0.00447374617376972
category;Fashion & Retail;Indonesia,4200,"$1,119,190,780,753 ",30.1,1.0,0.002472333411820108
category;Fashion & Retail;Chile,3700,"$282,318,159,745 ",34.0,1.0,0.0021780080056510477
category;Fashion & Retail;Luxembourg,3500,"$71,104,919,108 ",20.4,1.0,0.002060277843183424
category;Fashion & Retail;Singapore,4800,"$372,062,527,489 ",21.0,2.0,0.0028255238992229807
category;Fashion & Retail;Brazil,12100,"$1,839,758,040,766 ",65.1,5.0,0.007122674829291265
category;Fashion & Retail;Hong Kong,9000,,,4.0,0.005297857311043089
category;Fashion & Retail;Bahamas,2200,,,1.0,0.0012950317871438662
category;Fashion & Retail;Australia,10100,"$1,392,680,589,329 ",47.4,6.0,0.005945373204615022
category;Fashion & Retail;Cyprus,4200,"$24,564,647,935 ",22.4,2.0,0.002472333411820108
